date,value
2016-06-04 00:00:00,55022.0
2016-06-05 00:00:00,52691.0
2016-06-06 00:00:00,101277.0
2016-06-07 00:00:00,102168.0
2016-06-08 00:00:00,98544.0
2016-06-09 00:00:00,106042.0
2016-06-10 00:00:00,86793.0
2016-06-11 00:00:00,44066.0
2016-06-12 00:00:00,44661.0
2016-06-13 00:00:00,98377.0
2016-06-14 00:00:00,98400.0
2016-06-15 00:00:00,101552.0
2016-06-16 00:00:00,89028.0
2016-06-17 00:00:00,78942.0
2016-06-18 00:00:00,45340.0
2016-06-19 00:00:00,44936.0
2016-06-20 00:00:00,98754.0
2016-06-21 00:00:00,109529.0
2016-06-22 00:00:00,101259.0
2016-06-23 00:00:00,103295.0
2016-06-24 00:00:00,85511.0
2016-06-25 00:00:00,47361.0
2016-06-26 00:00:00,44375.0
2016-06-27 00:00:00,92684.0
2016-06-28 00:00:00,105485.0
2016-06-29 00:00:00,97809.0
2016-06-30 00:00:00,105378.0
2016-07-01 00:00:00,88659.0
2016-07-02 00:00:00,44745.0
2016-07-03 00:00:00,48152.0
2016-07-04 00:00:00,55598.0
2016-07-05 00:00:00,104193.0
2016-07-06 00:00:00,105671.0
2016-07-07 00:00:00,114611.0
2016-07-08 00:00:00,85777.0
2016-07-09 00:00:00,51816.0
2016-07-10 00:00:00,46824.0
2016-07-11 00:00:00,93576.0
2016-07-12 00:00:00,121710.0
2016-07-13 00:00:00,99713.0
2016-07-14 00:00:00,113473.0
2016-07-15 00:00:00,102797.0
2016-07-16 00:00:00,47927.0
2016-07-17 00:00:00,46646.0
2016-07-18 00:00:00,104776.0
2016-07-19 00:00:00,109198.0
2016-07-20 00:00:00,103573.0
2016-07-21 00:00:00,103967.0
2016-07-22 00:00:00,97973.0
2016-07-23 00:00:00,49222.0
2016-07-24 00:00:00,46364.0
2016-07-25 00:00:00,111107.0
2016-07-26 00:00:00,119762.0
2016-07-27 00:00:00,123475.0
2016-07-28 00:00:00,121777.0
2016-07-29 00:00:00,111937.0
